ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
2887699,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,51,QVM-Franklin St (North),181
2887700,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,52,Elizabeth St-Lonsdale St (South),806
2887701,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,54,Lincoln-Swanston(West),178
2887702,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,55,Elizabeth St-La Trobe St (East),1972
2887703,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,56,Lonsdale St - Elizabeth St (North),598
2887704,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,57,Bourke St Bridge,870
2887705,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,58,Bourke St - Spencer St (North),1499
2887706,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,59,Swanston St - RMIT Building 80,396
2887707,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,61,Swanston St - RMIT Building 14,1080
2887708,11/01/2019 06:00:00 PM,2019,November,1,Friday,18,62,La Trobe St (North),262
2887709,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,4,Town Hall (West),2345
2887710,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,17,Collins Place (South),367
2887711,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,18,Collins Place (North),294
2887712,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,53,Collins St (North),784
2887713,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,2,Bourke Street Mall (South),1639
2887714,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,1,Bourke Street Mall (North),2533
2887715,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,3,Melbourne Central,2512
2887716,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,15,State Library,1562
2887717,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,9,Southern Cross Station,522
2887718,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,10,Victoria Point,126
2887719,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,12,New Quay,385
2887720,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,11,Waterfront City,123
2887721,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,8,Webb Bridge,221
2887722,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,7,Birrarung Marr,436
2887723,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,5,Princes Bridge,2530
2887724,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,6,Flinders Street Station Underpass,2467
2887725,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,14,Sandridge Bridge,38
2887726,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,26,QV Market-Elizabeth St (West),698
2887727,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,24,Spencer St-Collins St (North),1566
2887728,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,23,Spencer St-Collins St (South),235
2887729,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,25,Melbourne Convention Exhibition Centre,1741
2887730,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,21,Bourke St-Russell St (West),1117
2887731,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,20,Chinatown-Lt Bourke St (South),1013
2887732,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,19,Chinatown-Swanston St (North),1404
2887733,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,22,Flinders St-Elizabeth St (East),2647
2887734,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,27,QV Market-Peel St,187
2887735,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,28,The Arts Centre,1342
2887736,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,31,Lygon St (West),512
2887737,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,30,Lonsdale St (South),1184
2887738,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,34,Flinders St-Spark La,158
2887739,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,39,Alfred Place,289
2887740,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,37,Lygon St (East),293
2887741,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,40,Lonsdale St-Spring St (West),384
2887742,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,36,Queen St (West),420
2887743,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,29,St Kilda Rd-Alexandra Gardens,502
2887744,11/01/2019 07:00:00 PM,2019,November,1,Friday,19,42,Grattan St-Swanston St (West),303
